"Well","Analyte","Reading"
"A1","A",8
"A1","A",7
"A1","A",4
"A1","A",10
"A1","A",1
"A1","A",13
"A1","A",17
"A1","A",11
"A1","A",7
"A1","A",12
"A1","A",17
"A1","A",59
"A1","B",117
"A1","B",93
"A1","B",207
"A1","B",135
"A1","B",159
"A1","B",173
"A1","B",174
"A1","B",124
"A1","B",127
"A1","B",12
"A1","B",251
"A1","B",136
"A1","B",218
"A1","B",227
"A1","B",132
"A1","B",163
"A1","B",139
"A1","B",247
"A1","B",118
"A1","B",173
"A1","B",145
"A1","B",195
"A1","B",164
"A1","B",163
"A1","B",148
"A1","B",100
"A1","B",117
"A1","C",218
"A1","C",275
"A1","C",379
"A1","C",214
"A1","C",405
"A1","C",298
"A1","C",332
"A1","C",435
"A1","C",388
"A1","C",359
"A1","C",308
"A1","C",316
"A1","C",252
"A1","C",291
"A1","C",300
"A1","C",289
"A1","C",260
"A1","C",354
"A1","C",216
"A1","D",804
"A1","D",751
"A1","D",816
"A1","D",883
"A1","D",809
"A1","E",756
"A1","E",812
"A1","E",834
"A1","E",478
"A1","E",692
"A1","E",835
"A1","E",894
"A1","E",646
"A1","F",87
"A1","F",107
"A1","F",115
"A1","F",126
"A1","F",181
"A1","F",114
"A1","F",135
"A1","F",102
"A1","F",124
"A1","F",104
"A1","F",156
"A1","F",135
"A1","F",132
"A1","F",216
"A1","F",133
"A1","F",128
"A1","F",119
"A1","F",31
"A1","F",136
"A1","F",131
"A1","F",72
"A1","F",160
"A1","F",169
"A1","F",101
"A1","F",118
"A1","F",125
"A1","G",808
"A1","G",791
"A1","G",759
"A1","G",870
"A1","G",838
"A1","G",893
"A1","G",836
"A1","G",348
"A1","G",802
"A1","G",742
"A1","G",792
"A1","G",279
"A1","G",712
"A1","G",867
"A1","G",366
"A1","G",698
"A1","H",161
"A1","H",112
"A1","H",155
"A1","H",197
"A1","H",143
"A1","H",373
"A1","H",283
"A1","H",205
"A1","H",105
"A1","H",113
"A1","H",141
"A1","H",128
"A1","H",76
"A1","H",148
"A1","H",145
"A1","H",143
"A1","I",800
"A1","I",814
"A1","I",821
"A1","I",731
"A1","I",816
"A1","I",214
"A1","I",853
"A1","I",775
"A1","I",849
"A1","I",805
"A1","I",238
"A1","I",814
"A1","I",275
"A1","I",854
"A1","I",807
"A1","J",178
"A1","J",171
"A1","J",241
"A1","J",198
"A1","J",124
"A1","J",141
"A1","J",224
"A1","J",171
"A1","J",133
"A1","J",165
"A1","J",155
"A1","J",186
"A1","J",156
"A1","J",134
"A1","J",144
"A1","J",295
"A1","J",202
"A1","J",146
"A1","J",136
"A1","J",136
"A1","J",162
"A1","J",156
"A1","J",155
"A1","K",0
"A1","K",0
"A1","K",0
"A1","K",0
"A1","K",2
"A1","K",0
"A1","K",0
"A1","K",0
